식당(ID),식당명,지점명,지역명,네이버평점
22924,부평집해물탕,,부평구,4.67
22925,중국성,,중구,4.15
22926,신포횟집,,미추홀구,4.42
22927,북촌순두부,부평점,부평구,4.27
22928,풍전식당,,미추홀구,4.29
22929,우미가든,,남동구,4.34
22930,라비스타,,연수구,4.55
22931,솔향기,,강화군,4.73
22932,루쉬,,남동구,4.39
22933,숭의가든,,미추홀구,4.2
22934,옜네손칼국수,,미추홀구,
22935,태원,,미추홀구,4.45
22936,바다식당,,옹진군,4.53
22937,별미정숯불장어,,강화군,4.42
22938,청수한방횡계백숙,,서구,4.61
22939,천주채관,,계양구,4.15
22940,부개갈비,,부평구,4.25
22941,벌말매운탕,,계양구,4.35
22942,본죽,석바위점,미추홀구,4.53
22943,경복궁,가좌점,서구,4.29
39477,명륜진사갈비,서울대림점,부평구,4.32
92263,마시안해물칼국수,,중구,
146210,원조영양탕삼계탕,,강화군,4.46
146215,시골밥상,,강화군,4.36
146219,서해안 횟집,,강화군,4
146224,골목집,,강화군,4.19
146238,하얀집,,강화군,4.66
146243,조금,,강화군,
146247,천일관,,강화군,5
146251,친구네곱창,,강화군,4.19
146260,강화집,,강화군,
146277,우리옥,,강화군,3.77
146283,샘물식당,,강화군,4.23
146306,무궁화분식,,강화군,4.38
146312,강화솥밥집,,강화군,
146317,고을식당,,강화군,4.52
146334,50년전통강화국수,,강화군,4.41
146345,풀잎분식,,강화군,4
146350,삼거리포장마차,,강화군,
146353,광성식당,,강화군,4.32
146359,탁지,,강화군,
146365,전등사 남문식당,,강화군,4.36
146370,산장식당,,강화군,
146375,산골식당,,강화군,4.24
146389,미도횟집,,강화군,4.38
146392,온수분식,,강화군,4.42
146407,서울식당,,강화군,4.66
146413,보문국수,,강화군,4.13
146417,수정반점,,강화군,
146424,고래식당앤생선구이,,강화군,4.12
146429,관광식당,,강화군,
146433,두꺼비식당,,강화군,
146437,내가통닭,,강화군,4.23
146441,풍년식당,,강화군,4.29
146446,대풍옥,,강화군,4.43
146451,선창식당,,강화군,4.46
146456,일심식당,,강화군,5
146461,밥집,,강화군,
146465,한솔집,,강화군,4.25
146469,일억조젓국갈비,,강화군,4.04
146473,옛아리랑식당,,강화군,
146478,칠보식당,,강화군,3.58
146497,내가차돌박이짬뽕,,강화군,4.16
146501,골목선지순대국,,강화군,4.42
146512,서문김밥,,강화군,4.26
146519,광명식당,,강화군,3.4
146523,아림고추장추어탕,,강화군,3.25
146527,삼랑성꽁보리밥집,,강화군,4.36
146546,심봉사도로케,인천마니산점,강화군,
146551,황금반점,,강화군,4.36
146555,봉천가정식백반,,강화군,3.89
146560,강서식당,,강화군,3.73
146584,요거프레소,석모도점,강화군,4.32
146592,보문커피숍,,강화군,
146613,국화집,,강화군,
146618,명화루,,강화군,4.26
146623,실속장어마당,,강화군,5
