"행정구역","2026년04월_거주자_총인구수","2026년04월_거주자_연령구간인구수","2026년04월_거주자_0~9세","2026년04월_거주자_10~19세","2026년04월_거주자_20~29세","2026년04월_거주자_30~39세","2026년04월_거주자_40~49세","2026년04월_거주자_50~59세","2026년04월_거주자_60~69세","2026년04월_거주자_70~79세","2026년04월_거주자_80~89세","2026년04월_거주자_90~99세","2026년04월_거주자_100세 이상","2026년04월_남_거주자_총인구수","2026년04월_남_거주자_연령구간인구수","2026년04월_남_거주자_0~9세","2026년04월_남_거주자_10~19세","2026년04월_남_거주자_20~29세","2026년04월_남_거주자_30~39세","2026년04월_남_거주자_40~49세","2026년04월_남_거주자_50~59세","2026년04월_남_거주자_60~69세","2026년04월_남_거주자_70~79세","2026년04월_남_거주자_80~89세","2026년04월_남_거주자_90~99세","2026년04월_남_거주자_100세 이상","2026년04월_여_거주자_총인구수","2026년04월_여_거주자_연령구간인구수","2026년04월_여_거주자_0~9세","2026년04월_여_거주자_10~19세","2026년04월_여_거주자_20~29세","2026년04월_여_거주자_30~39세","2026년04월_여_거주자_40~49세","2026년04월_여_거주자_50~59세","2026년04월_여_거주자_60~69세","2026년04월_여_거주자_70~79세","2026년04월_여_거주자_80~89세","2026년04월_여_거주자_90~99세","2026년04월_여_거주자_100세 이상"
"경기도 용인시 수지구 (4146500000)","368,845","368,845","27,127","45,614","40,894","47,840","64,467","62,334","38,988","25,830","13,653","2,056","42","179,428","179,428","13,739","23,120","20,628","23,306","30,685","30,651","19,274","11,118","6,191","708","8","189,417","189,417","13,388","22,494","20,266","24,534","33,782","31,683","19,714","14,712","7,462","1,348","34"
"경기도 파주시 (4148000000)","529,217","529,217","38,291","55,682","54,378","73,740","87,750","89,124","70,289","36,954","19,439","3,497","73","266,327","266,327","19,580","28,288","28,850","37,861","45,585","45,644","35,420","16,891","7,283","908","17","262,890","262,890","18,711","27,394","25,528","35,879","42,165","43,480","34,869","20,063","12,156","2,589","56"
"경기도 이천시 (4150000000)","222,799","222,799","13,387","21,392","26,213","31,272","33,176","36,815","33,871","17,233","7,938","1,463","39","116,383","116,383","6,967","10,994","15,000","17,717","17,448","19,071","17,393","8,332","3,059","392","10","106,416","106,416","6,420","10,398","11,213","13,555","15,728","17,744","16,478","8,901","4,879","1,071","29"
"경기도 안성시 (4155000000)","197,389","197,389","10,310","17,698","21,742","23,714","28,755","34,127","32,267","18,225","8,804","1,707","40","102,004","102,004","5,368","9,096","11,846","13,338","15,498","17,894","16,514","8,760","3,277","408","5","95,385","95,385","4,942","8,602","9,896","10,376","13,257","16,233","15,753","9,465","5,527","1,299","35"
"경기도 김포시 (4157000000)","482,150","482,150","36,522","56,379","45,468","61,807","90,235","76,522","61,909","35,602","15,114","2,532","60","240,444","240,444","18,841","28,622","23,190","30,830","45,425","39,429","30,684","16,564","6,183","663","13","241,706","241,706","17,681","27,757","22,278","30,977","44,810","37,093","31,225","19,038","8,931","1,869","47"
"경기도 화성시 (4159000000)","994,124","994,124","88,673","118,023","108,443","165,124","185,804","152,464","104,164","48,023","19,612","3,715","79","514,984","514,984","45,357","60,057","57,972","87,941","97,054","80,833","54,181","23,173","7,530","878","8","479,140","479,140","43,316","57,966","50,471","77,183","88,750","71,631","49,983","24,850","12,082","2,837","71"
"경기도 화성시 만세구 (4159100000)","234,030","234,030","15,749","23,220","23,369","31,819","39,375","39,543","34,900","16,779","7,661","1,586","29","127,541","127,541","8,066","11,919","13,569","18,511","22,046","22,581","19,056","8,500","2,898","390","5","106,489","106,489","7,683","11,301","9,800","13,308","17,329","16,962","15,844","8,279","4,763","1,196","24"
"경기도 화성시 효행구 (4159300000)","159,034","159,034","13,248","15,613","16,511","25,853","26,045","25,571","20,725","10,255","4,318","866","29","82,025","82,025","6,691","7,826","8,624","13,787","13,923","13,525","10,828","5,000","1,642","177","2","77,009","77,009","6,557","7,787","7,887","12,066","12,122","12,046","9,897","5,255","2,676","689","27"
"경기도 화성시 병점구 (4159500000)","174,120","174,120","14,379","18,475","21,989","29,452","30,729","27,640","18,540","8,854","3,506","547","9","90,057","90,057","7,428","9,495","12,038","16,110","16,158","14,085","9,191","4,073","1,341","137","1","84,063","84,063","6,951","8,980","9,951","13,342","14,571","13,555","9,349","4,781","2,165","410","8"
"경기도 화성시 동탄구 (4159700000)","426,940","426,940","45,297","60,715","46,574","78,000","89,655","59,710","29,999","12,135","4,127","716","12","215,361","215,361","23,172","30,817","23,741","39,533","44,927","30,642","15,106","5,600","1,649","174","0","211,579","211,579","22,125","29,898","22,833","38,467","44,728","29,068","14,893","6,535","2,478","542","12"
"경기도 광주시 (4161000000)","395,764","395,764","26,055","36,143","37,589","51,152","66,474","69,669","61,948","32,310","12,378","1,996","50","201,306","201,306","13,258","18,511","19,869","26,848","34,851","35,752","30,943","15,640","5,121","502","11","194,458","194,458","12,797","17,632","17,720","24,304","31,623","33,917","31,005","16,670","7,257","1,494","39"
"경기도 양주시 (4163000000)","295,788","295,788","22,368","29,064","30,451","40,047","46,246","49,920","41,812","23,120","10,812","1,901","47","148,565","148,565","11,439","14,610","16,030","20,608","23,772","25,349","21,126","10,838","4,264","518","11","147,223","147,223","10,929","14,454","14,421","19,439","22,474","24,571","20,686","12,282","6,548","1,383","36"
"경기도 포천시 (4165000000)","139,864","139,864","5,559","9,685","13,727","13,908","15,215","25,611","30,878","15,745","7,934","1,547","55","74,004","74,004","2,920","5,103","7,820","7,968","8,274","13,809","16,800","7,984","2,953","361","12","65,860","65,860","2,639","4,582","5,907","5,940","6,941","11,802","14,078","7,761","4,981","1,186","43"
"경기도 여주시 (4167000000)","113,253","113,253","5,138","8,822","9,604","11,231","14,336","19,758","22,800","13,864","6,449","1,223","28","57,727","57,727","2,604","4,649","5,245","6,138","7,393","10,161","11,745","6,919","2,557","313","3","55,526","55,526","2,534","4,173","4,359","5,093","6,943","9,597","11,055","6,945","3,892","910","25"
"경기도 연천군 (4180000000)","42,620","42,620","1,861","2,767","4,279","4,180","4,203","6,413","9,143","5,877","3,290","597","10","22,326","22,326","939","1,433","2,649","2,467","2,274","3,476","4,760","2,914","1,242","170","2","20,294","20,294","922","1,334","1,630","1,713","1,929","2,937","4,383","2,963","2,048","427","8"
"경기도 가평군 (4182000000)","61,734","61,734","2,414","4,029","5,151","5,298","6,668","10,351","13,839","8,860","4,329","768","27","31,730","31,730","1,242","2,054","2,905","2,946","3,518","5,493","7,188","4,414","1,772","191","7","30,004","30,004","1,172","1,975","2,246","2,352","3,150","4,858","6,651","4,446","2,557","577","20"
"경기도 양평군 (4183000000)","126,178","126,178","5,526","9,780","8,735","10,386","14,977","20,991","27,831","18,146","8,193","1,579","34","63,380","63,380","2,859","5,059","4,861","5,450","7,442","10,733","14,042","9,023","3,515","394","2","62,798","62,798","2,667","4,721","3,874","4,936","7,535","10,258","13,789","9,123","4,678","1,185","32"
